year,month,monthf,weekday,weekdayf,monthweek,Freq
2015,12,Dec,10,Thu,2,3
2015,12,Dec,14,Mon,3,3
2015,12,Dec,15,Tue,3,10
2015,12,Dec,16,Wed,3,1
2015,12,Dec,17,Thu,3,2
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
2015,12,Dec,1,Tue,1,0
2015,12,Dec,2,Wed,1,0
2015,12,Dec,3,Thu,1,0
2015,12,Dec,4,Fri,1,0
2015,12,Dec,5,Sat,1,0
2015,12,Dec,6,Sun,1,0
2015,12,Dec,7,Mon,2,0
2015,12,Dec,8,Tue,2,0
2015,12,Dec,9,Wed,2,0
2015,12,Dec,11,Fri,2,0
2015,12,Dec,12,Sat,2,0
2015,12,Dec,13,Sun,2,0
2015,12,Dec,18,Fri,3,0
2015,12,Dec,19,Sat,3,0
2015,12,Dec,20,Sun,3,0
2015,12,Dec,21,Mon,4,0
2015,12,Dec,22,Tue,4,0
2015,12,Dec,23,Wed,4,0
2015,12,Dec,24,Thu,4,0
2015,12,Dec,25,Fri,4,0
2015,12,Dec,26,Sat,4,0
2015,12,Dec,27,Sun,4,0
2015,12,Dec,28,Mon,5,0
2015,12,Dec,29,Tue,5,0
2015,12,Dec,30,Wed,5,0
2015,12,Dec,31,Thu,5,0
